Task Name,Task Date,Task Time,Task Note

Learn to code Python,2018-12-31 00:00:00,1000,This is awesome
Read a book,2017-07-31 00:00:00,50,Get a good one
Learn new things,2012-12-31 00:00:00,50,Great
Go for a walk,2018-04-19 00:00:00,50,Get fit!
Talk with Dan,2017-07-15 00:00:00,15,Figure out staff
Read Python book,2089-12-31 00:00:00,90,Get at B&N
Take a Python course,2015-12-15 00:00:00,50,I love to code
Get a Python teacher,2019-04-13 00:00:00,60,His name should be Kenneth Love
Go to a python conference,2030-06-07 00:00:00,90,I can't wait to go
Eat a piece of pie,2017-07-07 00:00:00,10,Do this at python conf
Set up email address eddy@ignitespot.com,2019-12-31 00:00:00,10,Get it for work
Buy 25 eggs,2019-12-31 00:00:00,10,Get big ones
Get one-to-two snacks,2018-08-08 00:00:00,50,Make it chocolate!
Get a new phone number at 801-555-5555,2019-12-22 00:00:00,55,Verizon
Change the phone number to (801)-444-4444,2019-12-22 00:00:00,34,T-Mobile
Get a job,12/16/2000,50,Stuff
Learn to skateboard,10/15/2015,40,Tony Hawk style!
